EntryNum	Timestamp	nodeType	CompleteNode	Core	Bank	Syndrome	Type	Addr	Socket	Apic	err_CPU_bit	scrub	L3_low	L3_high	ucc	ecc	pcc	miscInfo	ue	over	Date	weeknumber
5123	1349746370	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:32:50	41
5124	1349746539	compute	c15-8c2s3n0	24	4	 Chipkill ECC syndrome = 189	ECC Error	e159f0ac0	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:35:39	41
5125	1349746595	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:36:35	41
5126	1349746614	compute	c9-0c2s5n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	27a79eb30	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:36:54	41
5127	1349746670	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:37:50	41
5128	1349746932	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:42:12	41
5129	1349747087	compute	c18-9c1s1n2	0	4	 Chipkill ECC syndrome = 80	ECC Error	280328290	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:44:47	41
5130	1349747157	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 4010	ECC Error	dc7760f10	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:45:57	41
5131	1349747191	compute	c14-1c1s6n3	0	4	 Chipkill ECC syndrome = 104	ECC Error	29da57920	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:46:31	41
5132	1349747206	GPU	c19-11c0s0n2	8	4	-1	NB Array Error	622b997c8	0	8	110	0	0	1	0	1	0	1	0	0	2012-10-08 20:46:46	41
